lead_id,nome,telefone,criado_em,campanha_id,etapa_atual
LD1383,Felipe Almeida,+5511928574987,2026-05-07 21:48:00,cmp_005,novo
LD1363,Bruno Silva,+5511952065724,2026-06-19 09:31:00,cmp_005,qualificado
LD1201,Sergio Silva,+5511966143368,2026-06-07 14:34:00,cmp_003,perdido
LD1017,Renata Santos,+5511981216573,2026-06-17 13:14:00,cmp_001,briefing_realizado
LD1462,Renata Pereira,+5511923854626,2026-06-26 08:02:00,cmp_006,em_atendimento
LD1189,Karina Costa,+5511990268079,2026-06-02 14:06:00,cmp_002,vendido
LD1058,Renata Costa,+5511951617680,2026-05-03 20:12:00,cmp_001,em_atendimento
LD1297,Tatiane Santos,+5511929072646,2026-06-15 19:22:00,cmp_004,perdido
LD1195,Paulo Rocha,+5511949117508,2026-05-21 17:44:00,cmp_003,proposta
LD1112,Gabriela Ribeiro,+5511948789478,2026-05-31 11:15:00,cmp_002,proposta
LD1410,Gabriela Santos,+5511994903891,2026-06-25 13:45:00,cmp_006,perdido
LD1455,Gabriela Silva,+5511989193333,2026-06-10 08:52:00,cmp_006,em_atendimento
LD1294,Henrique Pereira,+5511943266810,2026-06-03 13:49:00,,vendido
LD1140,Paulo Silva,+5511919263592,2026-05-23 19:04:00,cmp_002,novo
LD1316,Eduarda Silva,+5511975893962,2026-05-20 11:06:00,cmp_005,qualificado
LD1356,Joao Souza,+5511934311643,2026-06-24 10:53:00,cmp_005,perdido
LD1172,Felipe Souza,+5511967790557,2026-06-04 12:01:00,cmp_002,perdido
LD1379,Karina Santos,+5511974513622,2026-05-11 08:35:00,cmp_005,novo
LD1160,Joao Costa,+5511953166435,2026-06-15 11:25:00,cmp_002,perdido
LD1464,Isabela Costa,+5511979345320,2026-05-24 17:41:00,cmp_006,novo
LD1143,Henrique Silva,+5511927092236,2026-05-09 18:55:00,cmp_002,perdido
LD1235,Olivia Ribeiro,+5511959535894,2026-05-26 16:47:00,cmp_003,qualificado
LD1035,Sergio Martins,+5511978140959,2026-05-10 09:18:00,cmp_001,novo
LD1232,Henrique Oliveira,+5511927809465,2026-06-28 08:17:00,cmp_003,novo
LD1121,Nelson Oliveira,+5511933496796,2026-06-04 19:46:00,cmp_002,novo
LD1155,Karina Souza,+5511937291394,2026-06-05 16:08:00,cmp_002,em_atendimento
LD1470,Ana Martins,+5511928450513,2026-05-09 14:21:00,cmp_002,perdido
LD1034,Henrique Oliveira,+5511935770506,2026-06-30 11:21:00,cmp_001,em_atendimento
LD1463,Mariana Costa,+5511933333727,2026-06-23 19:16:00,cmp_006,perdido
LD1079,Tatiane Oliveira,+5511983994695,2026-05-30 18:33:00,cmp_001,qualificado
LD1153,Henrique Pereira,+5511942342202,2026-06-14 14:26:00,cmp_002,proposta
LD1042,Daniel Pereira,+5511979244185,2026-06-25 13:35:00,cmp_001,perdido
LD1013,Olivia Souza,+5511912515446,2026-05-05 14:55:00,cmp_001,em_atendimento
LD1310,Henrique Oliveira,+5511987585294,2026-05-23 16:24:00,cmp_005,qualificado
LD1424,Vitor Pereira,+5511916825701,2026-05-30 19:59:00,cmp_006,vendido
LD1054,Henrique Souza,+5511956278607,2026-05-24 12:47:00,cmp_001,qualificado
LD1370,Gabriela Oliveira,+5511958217837,2026-06-26 18:08:00,cmp_005,qualificado
LD1213,Daniel Martins,+5511987490324,2026-05-25 08:45:00,cmp_003,briefing_realizado
LD1164,Gabriela Almeida,+5511930456313,2026-06-05 17:37:00,cmp_002,em_atendimento
LD1443,Sergio Souza,+5511982095327,2026-06-05 21:35:00,cmp_006,proposta
LD1238,Karina Silva,+5511975140950,2026-05-18 13:53:00,cmp_003,vendido
LD1167,Felipe Martins,+5511975540707,2026-06-16 20:22:00,cmp_002,qualificado
LD1376,Eduarda Costa,+5511991286864,2026-06-12 09:42:00,cmp_005,perdido
LD1255,Sergio Oliveira,+5511959044830,2026-05-09 14:55:00,cmp_003,em_atendimento
LD1101,Vitor Pereira,+5511962741471,2026-05-09 13:59:00,cmp_002,novo
LD1089,Eduarda Almeida,+5511963514837,2026-06-25 19:20:00,cmp_001,em_atendimento
LD1249,Gabriela Souza,+5511969375757,2026-06-10 19:09:00,cmp_003,perdido
LD1429,Henrique Silva,+5511993366885,2026-06-12 13:28:00,cmp_006,qualificado
LD1359,Bruno Rocha,+5511973154349,2026-05-17 17:18:00,cmp_005,novo
LD1375,Joao Costa,+5511911248835,2026-06-14 10:13:00,cmp_005,perdido
LD1109,Eduarda Martins,+5511918359252,2026-06-28 15:55:00,cmp_002,perdido
LD1304,Felipe Silva,+5511927092408,2026-06-22 10:24:00,cmp_005,qualificado
LD1014,Nelson Pereira,+5511995918360,2026-06-25 13:36:00,cmp_001,em_atendimento
LD1305,Felipe Rocha,+5511914346338,2026-06-30 19:36:00,cmp_005,perdido
LD1156,Bruno Pereira,+5511935566010,2026-06-29 15:54:00,cmp_002,perdido
LD1341,Daniel Silva,+5511995283260,2026-06-28 13:45:00,cmp_005,proposta
LD1102,Tatiane Pereira,+5511975746104,2026-06-07 13:32:00,cmp_002,perdido
LD1072,Paulo Santos,+5511948329479,2026-06-19 12:45:00,cmp_001,perdido
LD1381,Isabela Ribeiro,+5511949731424,2026-05-05 19:46:00,cmp_005,vendido
LD1183,Mariana Almeida,+5511989941241,2026-05-04 09:27:00,cmp_002,perdido
LD1126,Felipe Rocha,+5511935925669,2026-06-17 13:50:00,cmp_002,qualificado
LD1472,Nelson Martins,+5511983074216,2026-06-22 08:19:00,cmp_002,perdido
LD1237,Gabriela Ribeiro,+5511967665720,2026-06-24 09:50:00,cmp_003,novo
LD1165,Karina Pereira,+5511983905989,2026-05-15 14:36:00,cmp_002,em_atendimento
LD1346,Vitor Pereira,+5511943875271,2026-06-11 10:38:00,cmp_005,novo
LD1096,Sergio Pereira,+5511958657117,2026-05-03 14:03:00,cmp_002,novo
LD1354,Karina Santos,+5511935489981,2026-05-25 19:02:00,cmp_005,perdido
LD1011,Paulo Costa,+5511911037490,2026-05-20 11:49:00,cmp_001,vendido
LD1139,Bruno Costa,+5511919801857,2026-05-17 21:00:00,cmp_002,perdido
LD1002,Vitor Martins,+5511993446356,2026-05-24 09:48:00,cmp_001,perdido
LD1331,Nelson Pereira,+5511956153339,2026-06-19 09:50:00,cmp_005,qualificado
LD1127,Karina Souza,+5511979159799,2026-06-24 18:57:00,cmp_002,em_atendimento
LD1021,Tatiane Silva,+5511946866075,2026-06-25 18:20:00,cmp_001,proposta
LD1031,Mariana Oliveira,+5511998870276,2026-05-06 17:42:00,cmp_001,perdido
LD1252,Joao Santos,+5511913600310,2026-06-08 19:38:00,cmp_003,qualificado
LD1040,Renata Martins,+5511961254050,2026-06-13 17:28:00,cmp_001,em_atendimento
LD1337,Renata Almeida,+5511975023164,2026-06-11 09:12:00,cmp_005,em_atendimento
LD1159,Henrique Rocha,+5511974279671,2026-06-29 11:47:00,cmp_002,qualificado
LD1226,Joao Silva,+5511943223132,2026-05-14 14:06:00,cmp_003,perdido
LD1264,Paulo Ribeiro,+5511920344164,2026-06-21 14:17:00,cmp_004,perdido
LD1239,Daniel Oliveira,+5511912185246,2026-05-03 09:40:00,cmp_003,em_atendimento
LD1053,Bruno Costa,+5511973100462,2026-06-02 20:32:00,cmp_001,em_atendimento
LD1313,Ana Costa,+5511974791834,2026-06-30 09:21:00,cmp_005,perdido
LD1062,Carla Costa,+5511945798645,2026-06-14 15:23:00,cmp_001,perdido
LD1326,Nelson Souza,+5511915727862,2026-06-30 10:13:00,cmp_005,novo
LD1322,Nelson Rocha,+5511982672055,2026-06-18 19:42:00,cmp_005,qualificado
LD1128,Ana Pereira,+5511943292316,2026-05-26 18:06:00,cmp_002,vendido
LD1049,Vitor Ribeiro,+5511966348030,2026-05-28 09:49:00,cmp_001,vendido
LD1224,Sergio Martins,+5511976479831,2026-06-04 12:10:00,cmp_003,perdido
LD1269,Bruno Costa,+5511979226031,2026-05-24 09:32:00,cmp_004,vendido
LD1382,Nelson Souza,+5511951970837,2026-05-04 09:52:00,cmp_005,vendido
LD1288,Paulo Silva,+5511963015826,2026-05-04 10:59:00,cmp_004,qualificado
LD1430,Isabela Martins,+5511961791391,2026-06-13 13:24:00,cmp_006,novo
LD1271,Henrique Ribeiro,+5511993579731,2026-05-30 08:23:00,cmp_004,vendido
LD1413,Joao Costa,+5511981659221,2026-06-30 18:45:00,cmp_006,qualificado
LD1122,Joao Silva,+5511935006323,2026-06-29 08:53:00,cmp_002,em_atendimento
LD1437,Olivia Costa,+5511962080854,2026-06-06 21:14:00,cmp_006,em_atendimento
LD1360,Daniel Costa,+5511977172936,2026-06-07 17:04:00,cmp_005,novo
LD1440,Mariana Silva,+5511961192463,2026-06-08 09:18:00,cmp_006,em_atendimento
LD1391,Mariana Oliveira,+5511996087848,2026-06-12 19:15:00,cmp_005,perdido
LD1192,Henrique Ribeiro,+5511943782566,2026-05-11 14:17:00,cmp_003,vendido
LD1173,Mariana Souza,+5511945879718,2026-06-28 09:33:00,cmp_002,proposta
LD1270,Carla Martins,+5511953929586,2026-05-05 15:55:00,cmp_004,qualificado
LD1024,Olivia Rocha,+5511915505975,2026-05-25 15:37:00,cmp_001,perdido
LD1452,Olivia Ribeiro,+5511974418331,2026-06-23 13:08:00,cmp_006,em_atendimento
LD1064,Vitor Costa,+5511969849800,2026-05-07 09:20:00,cmp_001,em_atendimento
LD1431,Renata Ribeiro,+5511979029393,2026-06-16 12:01:00,cmp_006,em_atendimento
LD1395,Karina Souza,+5511970004467,2026-05-29 20:36:00,cmp_005,em_atendimento
LD1257,Mariana Souza,+5511966851305,2026-05-03 08:50:00,cmp_003,proposta
LD1240,Eduarda Pereira,+5511937154689,2026-05-29 15:00:00,cmp_003,em_atendimento
LD1133,Gabriela Santos,+5511999133246,2026-06-14 16:58:00,,perdido
LD1420,Lucas Rocha,+5511940272606,2026-06-17 12:12:00,cmp_006,em_atendimento
LD1361,Gabriela Almeida,+5511928436852,2026-06-03 12:26:00,cmp_005,qualificado
LD1405,Paulo Martins,+5511988533572,2026-05-01 16:47:00,cmp_006,qualificado
LD1274,Bruno Oliveira,+5511976038997,2026-06-24 19:46:00,cmp_004,proposta
LD1059,Joao Almeida,+5511935649468,2026-06-22 16:30:00,cmp_001,qualificado
LD1389,Tatiane Rocha,+5511980439867,2026-05-08 14:28:00,cmp_005,vendido
LD1318,Paulo Souza,+5511920997276,2026-05-13 09:01:00,cmp_005,qualificado
LD1057,Joao Santos,+5511914963880,2026-06-21 10:04:00,cmp_001,em_atendimento
LD1202,Carla Souza,+5511989701163,2026-06-20 13:44:00,cmp_003,perdido
LD1163,Ana Pereira,+5511929585415,2026-05-21 14:02:00,cmp_002,novo
LD1098,Lucas Oliveira,+5511984870921,2026-05-08 10:06:00,cmp_002,em_atendimento
LD1467,Tatiane Costa,+5511929226889,2026-05-27 19:48:00,cmp_001,perdido
LD1451,Nelson Pereira,+5511996011893,2026-06-21 13:27:00,cmp_006,perdido
LD1387,Felipe Rocha,+5511968809216,2026-05-27 17:30:00,cmp_005,perdido
LD1231,Eduarda Costa,+5511922780905,2026-06-30 21:32:00,cmp_003,perdido
LD1367,Henrique Santos,+5511994112495,2026-06-18 21:33:00,cmp_005,qualificado
LD1400,Renata Almeida,+5511983509785,2026-06-18 18:14:00,cmp_006,proposta
LD1151,Nelson Martins,+5511933505978,2026-05-18 08:35:00,cmp_002,perdido
LD1241,Lucas Pereira,+5511997857309,2026-05-11 21:59:00,cmp_003,novo
LD1175,Mariana Costa,+5511964395532,2026-06-11 21:41:00,cmp_002,novo
LD1325,Olivia Oliveira,+5511926143959,2026-06-21 17:43:00,cmp_005,novo
LD1199,Eduarda Pereira,+5511977015343,2026-06-22 21:50:00,cmp_003,perdido
LD1317,Vitor Ribeiro,+5511993898287,2026-05-24 08:27:00,cmp_005,qualificado
LD1433,Ana Souza,+5511981565674,2026-06-30 09:10:00,cmp_006,perdido
LD1063,Joao Almeida,+5511983212334,2026-05-06 14:38:00,cmp_001,novo
LD1432,Renata Souza,+5511952991650,2026-06-01 08:18:00,cmp_006,novo
LD1124,Isabela Santos,+5511972816684,2026-06-03 15:56:00,cmp_002,perdido
LD1145,Bruno Costa,+5511925145751,2026-05-25 21:14:00,cmp_002,vendido
LD1372,Isabela Martins,+5511960357475,2026-05-11 09:23:00,cmp_005,novo
LD1436,Sergio Souza,+5511943810519,2026-05-02 15:45:00,cmp_006,vendido
LD1263,Ana Almeida,+5511925845304,2026-05-24 10:47:00,cmp_004,em_atendimento
LD1065,Vitor Costa,+5511957319709,2026-05-11 19:28:00,cmp_001,novo
LD1148,Renata Pereira,+5511928808678,2026-05-26 15:14:00,cmp_002,novo
LD1328,Sergio Costa,+5511962089786,2026-05-21 19:58:00,cmp_005,novo
LD1209,Karina Souza,+5511913031322,2026-05-05 12:02:00,cmp_003,novo
LD1138,Ana Costa,+5511951361818,2026-05-30 17:03:00,cmp_002,perdido
LD1292,Renata Almeida,+5511985920407,2026-05-25 20:45:00,cmp_004,vendido
LD1066,Mariana Almeida,+5511995565484,2026-05-18 18:50:00,cmp_001,novo
LD1468,Olivia Ribeiro,+5511974418331,2026-06-26 13:08:00,cmp_006,perdido
LD1298,Felipe Ribeiro,+5511951480401,2026-06-23 20:56:00,cmp_004,perdido
LD1385,Paulo Costa,+5511961769856,2026-05-08 14:25:00,cmp_005,em_atendimento
LD1243,Ana Santos,+5511922775337,2026-06-16 19:48:00,cmp_003,qualificado
LD1457,Eduarda Ribeiro,+5511949057246,2026-05-26 11:57:00,,perdido
LD1076,Vitor Souza,+5511927417599,2026-05-24 16:36:00,,perdido
LD1129,Tatiane Rocha,+5511950526484,2026-05-25 11:28:00,cmp_002,em_atendimento
LD1281,Bruno Santos,+5511990973889,2026-05-30 12:54:00,cmp_004,vendido
LD1144,Nelson Martins,+5511983074216,2026-06-18 08:19:00,cmp_002,perdido
LD1028,Karina Rocha,+5511964864099,2026-05-11 13:23:00,cmp_001,em_atendimento
LD1332,Felipe Pereira,+5511915028557,2026-05-25 18:31:00,cmp_005,em_atendimento
LD1342,Tatiane Martins,+5511973697356,2026-05-16 13:31:00,cmp_005,novo
LD1276,Tatiane Rocha,+5511920043577,2026-06-07 09:32:00,cmp_004,qualificado
LD1350,Isabela Pereira,+5511953639158,2026-05-19 12:43:00,cmp_005,perdido
LD1312,Carla Martins,+5511931596235,2026-06-30 09:04:00,cmp_005,qualificado
LD1207,Lucas Pereira,+5511929015320,2026-05-23 08:30:00,cmp_003,briefing_realizado
LD1438,Carla Rocha,+5511992993446,2026-05-28 13:01:00,cmp_006,vendido
LD1335,Henrique Oliveira,+5511923182514,2026-05-22 21:50:00,cmp_005,perdido
LD1116,Eduarda Souza,+5511946456416,2026-05-14 11:52:00,cmp_002,perdido
LD1349,Vitor Rocha,+5511985357498,2026-05-01 16:42:00,cmp_005,em_atendimento
LD1178,Isabela Silva,+5511973820568,2026-05-15 11:57:00,cmp_002,perdido
LD1179,Bruno Oliveira,+5511985633013,2026-06-29 09:43:00,cmp_002,perdido
LD1377,Daniel Souza,+5511947944260,2026-06-23 09:32:00,cmp_005,novo
LD1422,Bruno Costa,+5511960626689,2026-05-12 18:04:00,cmp_006,vendido
LD1435,Carla Oliveira,+5511968416623,2026-06-04 21:44:00,cmp_006,perdido
LD1008,Gabriela Martins,+5511946663833,2026-06-12 14:31:00,cmp_001,em_atendimento
LD1478,Tatiane Oliveira,+5511928082355,2026-05-09 17:00:00,cmp_999,novo
LD1103,Nelson Rocha,+5511924710878,2026-05-31 21:01:00,cmp_002,perdido
LD1475,Daniel Santos,+5511965648506,2026-06-08 19:00:00,cmp_999,perdido
LD1203,Vitor Silva,+5511996838849,2026-06-19 11:42:00,cmp_003,novo
LD1181,Karina Costa,+5511982553061,2026-05-11 17:15:00,cmp_002,em_atendimento
LD1205,Tatiane Rocha,+5511984892608,2026-05-07 12:14:00,cmp_003,perdido
LD1344,Henrique Santos,+5511939709238,2026-05-25 08:10:00,cmp_005,novo
LD1045,Henrique Silva,+5511960319927,2026-05-26 16:23:00,cmp_001,qualificado
LD1081,Renata Pereira,+5511956442431,2026-05-20 10:10:00,cmp_001,qualificado
LD1404,Eduarda Ribeiro,+5511977672253,2026-05-08 20:57:00,cmp_006,qualificado
LD1123,Olivia Martins,+5511948193218,2026-05-01 12:36:00,cmp_002,em_atendimento
LD1185,Carla Rocha,+5511961012496,2026-06-05 14:27:00,cmp_002,qualificado
LD1019,Paulo Ribeiro,+5511933776150,2026-05-10 12:12:00,cmp_001,briefing_realizado
LD1087,Joao Ribeiro,+5511964504816,2026-06-11 12:30:00,cmp_001,qualificado
LD1119,Gabriela Pereira,+5511974082055,2026-06-29 10:26:00,cmp_002,em_atendimento
LD1476,Paulo Ribeiro,+5511974293132,2026-06-16 09:00:00,cmp_999,novo
LD1444,Gabriela Costa,+5511956150987,2026-05-20 11:47:00,cmp_006,perdido
LD1018,Henrique Souza,+5511929822594,2026-06-27 20:22:00,cmp_001,perdido
LD1100,Vitor Martins,+5511929990477,2026-06-15 13:51:00,cmp_002,em_atendimento
LD1330,Daniel Rocha,+5511923449152,2026-06-03 20:26:00,cmp_005,perdido
LD1266,Henrique Silva,+5511911649277,2026-06-13 19:07:00,cmp_004,vendido
LD1428,Ana Souza,+5511997147586,2026-06-30 20:39:00,cmp_006,perdido
LD1006,Carla Silva,+5511990023800,2026-05-25 14:29:00,cmp_001,perdido
LD1225,Olivia Martins,+5511915584869,2026-05-08 17:07:00,cmp_003,perdido
LD1254,Lucas Almeida,+5511911619606,2026-05-16 15:40:00,cmp_003,perdido
LD1090,Olivia Santos,+5511945899440,2026-06-02 16:06:00,cmp_001,qualificado
LD1030,Eduarda Almeida,+5511990893133,2026-06-13 14:18:00,cmp_001,qualificado
LD1147,Henrique Silva,+5511916533225,2026-05-07 17:02:00,cmp_002,perdido
LD1365,Nelson Costa,+5511995025258,2026-06-20 20:49:00,cmp_005,qualificado
LD1319,Carla Martins,+5511945568288,2026-05-20 20:25:00,cmp_005,perdido
LD1197,Sergio Silva,+5511934149421,2026-06-29 17:12:00,cmp_003,perdido
LD1416,Daniel Rocha,+5511970746206,2026-06-14 20:18:00,cmp_006,vendido
LD1041,Bruno Ribeiro,+5511943554863,2026-05-27 10:52:00,cmp_001,qualificado
LD1362,Karina Oliveira,+5511929223220,2026-05-27 17:57:00,cmp_005,em_atendimento
LD1114,Eduarda Pereira,+5511956323191,2026-06-06 18:34:00,cmp_002,em_atendimento
LD1135,Sergio Martins,+5511918289024,2026-06-15 13:04:00,cmp_002,novo
LD1033,Joao Oliveira,+5511958667035,2026-06-11 18:27:00,cmp_001,novo
LD1046,Eduarda Silva,+5511929602406,2026-05-21 09:53:00,cmp_001,em_atendimento
LD1223,Isabela Santos,+5511914388260,2026-06-06 08:50:00,cmp_003,em_atendimento
LD1417,Sergio Costa,+5511996854901,2026-06-25 18:47:00,cmp_006,novo
LD1460,Henrique Silva,+5511959584751,2026-06-30 13:02:00,cmp_006,vendido
LD1075,Paulo Silva,+5511941774192,2026-06-02 11:07:00,cmp_001,novo
LD1047,Olivia Rocha,+5511972962895,2026-05-19 21:30:00,cmp_001,novo
LD1441,Joao Oliveira,+5511983245898,2026-05-31 10:34:00,cmp_006,qualificado
LD1200,Vitor Ribeiro,+5511970272714,2026-05-16 12:42:00,cmp_003,vendido
LD1323,Sergio Ribeiro,+5511966187845,2026-05-15 16:03:00,cmp_005,perdido
